,Config,Acc.,BOPs,Sparsity,Neff,aIQ,Layer#1,Layer#2,Layer#3,Layer#4,ILP,Synth,LUT,FF,BRAM,URAM,DSP,Latency
22,w4a7_w4a7_w8a11_w6a9,0.75745,202394.61971753737,38.0041011619959,0.5164412111912347,1.029196505890398,4,4,8,6,0,0,0,0,0.0,0,0,0
23,w4a7_w4a7_w8a11_w7a10,0.7563458333333334,191899.81143562318,46.29756208703577,0.597986482098531,1.0537419028028625,4,4,8,7,0,0,0,0,0.0,0,0,0
24,w4a7_w4a7_w8a11_w8a11,0.7588791666666667,218277.4153846154,30.075187969924812,0.4904979505350745,1.021659333014757,4,4,8,8,0,0,0,0,0.0,0,0,0
25,w4a7_w5a8_w4a7_w4a7,0.7604958333333334,198761.2450294803,29.892914103440418,0.4450150596648945,1.0077297543432508,4,5,4,4,0,0,0,0,0.0,0,0,0
26,w4a7_w5a8_w4a7_w5a8,0.758,199856.84903331962,29.095465937571202,0.4774163972461363,1.0170349613814778,4,5,4,5,0,0,0,0,0.0,0,0,0
27,w4a7_w5a8_w4a7_w6a9,0.7576708333333333,192784.02413273003,33.857370699475965,0.5536271487548126,1.0408708929364665,4,5,4,6,0,0,0,0,0.0,0,0,0
28,w4a7_w5a8_w4a7_w7a10,0.7584666666666666,203905.5883724119,28.275233538391433,0.5490168607637511,1.0398226229815222,4,5,4,7,0,0,0,0,0.0,0,0,0
29,w4a7_w5a8_w4a7_w8a11,0.7575666666666667,205589.67557932262,28.753702437912963,0.5710478817790596,1.0461552926576794,4,5,4,8,0,0,0,0,0.0,0,0,0
30,w4a7_w5a8_w5a8_w4a7,0.7582708333333333,200408.71630330454,32.23969013442698,0.4213852634076715,0.99878516480364,4,5,5,4,0,1,38285,10152,1.5,0,149,90
31,w4a7_w5a8_w5a8_w5a8,0.7591208333333334,213937.02893185246,25.039872408293462,0.4971907849116779,1.0239088843692798,4,5,5,5,0,0,0,0,0.0,0,0,0
32,w4a7_w5a8_w5a8_w6a9,0.75995,207772.8057040998,29.34609250398724,0.5052328309260459,1.0268578112287141,4,5,5,6,0,0,0,0,0.0,0,0,0
33,w4a7_w5a8_w5a8_w7a10,0.7585083333333333,214205.26203208556,26.13351560719982,0.5285702015318122,1.0335002333979886,4,5,5,7,0,0,0,0,0.0,0,0,0
34,w4a7_w5a8_w5a8_w8a11,0.7586708333333333,208413.4550939257,30.234677603098657,0.5716323473866977,1.0468427550698252,4,5,5,8,0,0,0,0,0.0,0,0,0
35,w4a7_w5a8_w6a9_w4a7,0.7604541666666667,219346.37597696422,26.429710640236955,0.43996866268959783,1.0060497277524745,4,5,6,4,0,0,0,0,0.0,0,0,0
36,w4a7_w5a8_w6a9_w5a8,0.7596708333333333,216795.74825174827,28.32080200501253,0.5052787172685199,1.0267381944004554,4,5,6,5,0,0,0,0,0.0,0,0,0
37,w4a7_w5a8_w6a9_w6a9,0.7592083333333334,220573.14356232,26.56641604010025,0.5117070422163132,1.028545512204651,4,5,6,6,0,0,0,0,0.0,0,0,0
38,w4a7_w5a8_w6a9_w7a10,0.7601125,222753.09255450428,26.908179539758486,0.5580377215207256,1.0433621264857598,4,5,6,7,0,0,0,0,0.0,0,0,0
39,w4a7_w5a8_w6a9_w8a11,0.7602041666666667,230327.39119703823,23.604465709728867,0.5535502700019381,1.0420290285258842,4,5,6,8,0,0,0,0,0.0,0,0,0
40,w4a7_w5a8_w7a10_w4a7,0.7593625,227589.7260386672,26.703121439963546,0.4917843340147195,1.0223040764316484,4,5,7,4,0,1,43030,10557,1.5,0,250,100
41,w4a7_w5a8_w7a10_w5a8,0.7600666666666667,234017.42602495546,24.06015037593985,0.49641278827503604,1.0241183379590544,4,5,7,5,0,0,0,0,0.0,0,0,0
42,w4a7_w5a8_w7a10_w6a9,0.7599166666666667,231598.35678047442,25.58669400774664,0.5219375048219672,1.0320957877294068,4,5,7,6,0,0,0,0,0.0,0,0,0
43,w4a7_w5a8_w7a10_w7a10,0.7591416666666667,230007.9089537913,27.06766917293233,0.5312345656447643,1.0346304345299437,4,5,7,7,0,0,0,0,0.0,0,0,0
44,w4a7_w5a8_w7a10_w8a11,0.7589583333333333,235272.77992595642,25.427204374572796,0.4913073986834595,1.021956117571151,4,5,7,8,0,0,0,0,0.0,0,0,0
45,w4a7_w5a8_w8a11_w4a7,0.75885,235812.65542300837,26.08794714057872,0.4673623700970045,1.0142025631202298,4,5,8,4,0,0,0,0,0.0,0,0,0
46,w4a7_w5a8_w8a11_w5a8,0.7579708333333334,229930.46482928836,29.551150603782183,0.5048770857081697,1.0257945439279594,4,5,8,5,0,0,0,0,0.0,0,0,0
47,w4a7_w5a8_w8a11_w6a9,0.7586416666666667,234505.40737693678,28.252449305080884,0.5427261860539174,1.0379617885507904,4,5,8,6,0,0,0,0,0.0,0,0,0
48,w4a7_w5a8_w8a11_w7a10,0.7586,229109.46057863705,31.46502620186831,0.5271746861787302,1.0331079800729126,4,5,8,7,0,0,0,0,0.0,0,0,0
49,w4a7_w5a8_w8a11_w8a11,0.7592416666666667,235249.30974907443,28.480291638186376,0.5276610416313504,1.0335638478786862,4,5,8,8,0,0,0,0,0.0,0,0,0
50,w4a7_w6a9_w4a7_w4a7,0.757825,212636.0360894008,31.46502620186831,0.476428415815954,1.0166309277520835,4,6,4,4,0,1,42987,10131,1.5,0,268,85
51,w4a7_w6a9_w4a7_w5a8,0.7588291666666667,219576.42934320582,27.956254272043747,0.4669572979638857,1.0140610281885103,4,6,4,5,0,0,0,0,0.0,0,0,0
